Date,CO,StationCount
2010-01-01,1.249956043956044,5
2010-01-16,1.2119642857142856,5
2010-02-01,1.2404166666666665,4
2010-02-16,1.3346153846153845,6
2010-03-01,1.0780952380952382,6
2010-03-16,0.8165277777777776,6
2010-04-01,0.8733333333333334,6
2010-04-16,0.8622222222222223,6
2010-05-01,0.8843589743589743,6
2010-05-16,0.78125,6
2010-06-01,0.7730952380952382,6
2010-06-16,0.7922222222222223,6
2010-07-01,0.8532264957264957,6
2010-07-16,0.91375,5
2010-08-01,0.9400000000000001,5
2010-08-16,1.023125,6
2010-09-01,0.9164102564102564,6
2010-09-16,0.9744444444444446,6
2010-10-01,0.96498778998779,6
2010-10-16,1.0199404761904762,6
2010-11-01,1.0842735042735043,6
2010-11-16,1.1673809523809524,6
2010-12-01,1.2082154882154883,6
2010-12-16,1.1522348484848484,6
2011-01-01,1.0011904761904764,6
2011-01-16,0.9916666666666667,6
2011-02-01,0.9716860916860918,6
2011-02-16,0.8791310541310541,6
2011-03-01,0.8033333333333333,6
2011-03-16,0.8402083333333333,6
2011-04-01,0.7546825396825397,6
2011-04-16,0.7044444444444444,6
2011-05-01,0.5840981240981241,6
2011-05-16,0.6057070707070707,6
2011-06-01,0.49726495726495723,6
2011-06-16,0.5626068376068376,6
2011-07-01,0.5939316239316239,6
2011-07-16,0.5246527777777777,6
2011-08-01,0.35547619047619045,6
2011-08-16,0.43020833333333336,6
2011-09-01,0.5122222222222222,6
2011-09-16,0.43420024420024417,6
2011-10-01,0.42628787878787877,6
2011-10-16,0.36625,6
2011-11-01,0.4038888888888889,6
2011-11-16,0.41888888888888887,6
2011-12-01,0.6088888888888889,6
2011-12-16,0.5795405982905982,6
2012-01-01,0.3989682539682539,6
2012-01-16,0.409375,6
2012-02-01,0.4716666666666667,6
2012-02-16,0.4333333333333333,6
2012-03-01,0.38982905982905985,6
2012-03-16,0.39732142857142855,6
2012-04-01,0.49761904761904757,6
2012-04-16,0.3597619047619047,6
2012-05-01,0.3877777777777778,6
2012-05-16,0.32187499999999997,6
2012-06-01,0.39444444444444443,6
2012-06-16,0.4436111111111111,6
2012-07-01,0.4878968253968254,6
2012-07-16,0.45416666666666666,6
2012-08-01,0.4444444444444444,6
2012-08-16,0.4354166666666666,6
2012-09-01,0.43,6
2012-09-16,0.32666666666666666,6
2012-10-01,0.3670634920634921,6
2012-10-16,0.40461309523809524,6
2012-11-01,0.4176068376068376,6
2012-11-16,0.41944444444444445,6
2012-12-01,0.4738554778554779,5
2012-12-16,0.47874999999999995,5
2013-01-01,0.4238888888888888,6
2013-01-16,0.4991239316239316,6
2013-02-01,0.46194444444444444,6
2013-02-16,0.48203601953601954,6
2013-03-01,0.4105555555555555,6
2013-03-16,0.3586309523809524,6
2013-04-01,0.3658333333333333,6
2013-04-16,0.383006993006993,6
2013-05-01,0.38055555555555554,6
2013-05-16,0.3860576923076923,6
2013-06-01,0.35999999999999993,6
2013-06-16,0.35388888888888886,6
2013-07-01,0.37142857142857144,6
2013-07-16,0.48969246031746033,6
2013-08-01,0.40857142857142853,6
2013-08-16,0.42142857142857143,6
2013-09-01,0.396050061050061,6
2013-09-16,0.3497619047619047,6
2013-10-01,0.42111111111111105,6
2013-10-16,0.546875,6
2013-11-01,0.563076923076923,6
2013-11-16,0.6435042735042735,6
2013-12-01,0.5054700854700854,6
2013-12-16,0.7481944444444445,6
2014-01-01,0.6844444444444444,6
2014-01-16,0.6927777777777777,6
2014-02-01,0.5444444444444444,6
2014-02-16,0.5282051282051282,6
2014-03-01,0.41500000000000004,6
2014-03-16,0.41815476190476186,6
2014-04-01,0.3822222222222222,6
2014-04-16,0.32999999999999996,6
2014-05-01,0.34512820512820513,6
2014-05-16,0.34479166666666666,6
2014-06-01,0.3453333333333333,5
2014-06-16,0.35555555555555557,6
2014-07-01,0.3893284493284493,6
2014-07-16,0.37604166666666666,6
2014-08-01,0.36666666666666664,6
2014-08-16,0.4410416666666667,6
2014-09-01,0.3877777777777778,6
2014-09-16,0.3688888888888889,6
2014-10-01,0.44111111111111106,6
2014-10-16,0.47300685425685424,6
2014-11-01,0.5522222222222222,6
2014-11-16,0.47888888888888886,6
2014-12-01,0.7066666666666667,6
2014-12-16,0.709375,6
2015-01-01,0.47222222222222215,6
2015-01-16,0.74375,6
2015-02-01,0.5411477411477411,6
2015-02-16,0.4597416472416473,6
2015-03-01,0.4477777777777778,6
2015-03-16,0.3927083333333334,6
2015-04-01,0.3648412698412698,6
2015-04-16,0.42317460317460315,6
2015-05-01,0.4033333333333333,6
2015-05-16,0.3818452380952381,6
2015-06-01,0.3812820512820512,6
2015-06-16,0.4288888888888889,6
2015-07-01,0.44555555555555554,6
2015-07-16,0.4795833333333333,6
2015-08-01,0.4955555555555555,6
2015-08-16,0.43464285714285716,6
2015-09-01,0.49080808080808075,6
2015-09-16,0.44111111111111106,6
2015-10-01,0.45365079365079364,6
2015-10-16,0.5492521367521368,6
2015-11-01,0.5255555555555556,6
2015-11-16,0.5977777777777777,6
2015-12-01,0.6376923076923077,6
2015-12-16,0.6904647435897435,6
2016-01-01,0.6314957264957265,6
2016-01-16,0.6412362637362637,5
2016-02-01,0.7980555555555555,6
2016-02-16,0.4976370851370851,6
2016-03-01,0.4603367003367003,6
2016-03-16,0.38323863636363636,6
2016-04-01,0.47394383394383394,6
2016-04-16,0.38999999999999996,6
2016-05-01,0.34777777777777774,6
2016-05-16,0.3612689393939394,6
2016-06-01,0.39589743589743587,6
2016-06-16,0.4105555555555555,6
2016-07-01,0.40232323232323236,6
2016-07-16,0.3600378787878788,6
2016-08-01,0.4222222222222222,6
2016-08-16,0.4454861111111111,6
2016-09-01,0.48,6
2016-09-16,0.5188888888888888,6
2016-10-01,0.4918253968253968,6
2016-10-16,0.5584722222222221,6
2016-11-01,0.5855372405372404,6
2016-11-16,0.39833333333333326,6
2016-12-01,0.4921367521367522,6
2016-12-16,0.4891865079365079,6
2017-01-01,0.5412759462759462,6
2017-01-16,0.5372596153846153,6
2017-02-01,0.4811111111111111,6
2017-02-16,0.48333333333333334,6
2017-03-01,0.4015934065934066,6
2017-03-16,0.38779761904761906,6
2017-04-01,0.3333333333333333,6
2017-04-16,0.3922222222222222,6
2017-05-01,0.4041880341880342,6
2017-05-16,0.359375,6
2017-06-01,0.36777777777777776,6
2017-06-16,0.37801587301587297,6
2017-07-01,0.40444444444444444,6
2017-07-16,0.3652139527139527,6
2017-08-01,0.3422222222222222,6
2017-08-16,0.33121565934065933,6
2017-09-01,0.34861111111111104,6
2017-09-16,0.3021548821548821,6
2017-10-01,0.27125356125356126,6
2017-10-16,0.3376655982905983,6
2017-11-01,0.34103174603174596,6
2017-11-16,0.37936507936507935,6
2017-12-01,0.4361111111111111,6
2017-12-16,0.5251488095238096,6
2018-01-01,0.3634126984126984,6
2018-01-16,0.3275422494172494,6
2018-02-01,0.5679365079365079,6
2018-02-16,0.42435897435897435,6
